DS1,DpB,T1,deltaT,P,M01,VA,TS1,YuntA
1633.0,262.0,86.0,1.452,323.64,89.04,473.0,34.51,0.19
1643.0,273.0,86.0,1.545,319.86,91.25,448.0,35.67,0.2
1617.0,252.0,85.0,1.578,318.3,88.23,399.0,34.79,0.2
1657.0,245.0,84.0,1.26,318.02,87.09,406.0,36.23,0.2
1633.0,238.0,84.0,1.377,317.49,88.41,402.0,32.53,0.19
1647.0,232.0,82.0,0.927,323.15,88.92,385.0,34.67,0.19
1653.0,221.0,83.0,0.911,323.6,89.05,424.0,34.4,0.2
1639.0,258.0,83.0,0.604,324.3,89.4,410.0,33.71,0.2
1666.0,263.0,83.0,0.575,323.09,90.5,374.0,34.2,0.2
1641.0,248.0,84.0,0.948,319.67,90.85,381.0,32.33,0.23
1645.0,241.0,82.0,0.464,326.35,90.04,430.0,34.17,0.2
1672.0,255.0,83.0,1.041,318.76,90.43,417.0,33.97,0.2
1665.0,230.0,84.0,1.142,316.95,89.85,320.0,34.43,0.2275
1679.0,227.0,82.0,0.866,320.67,90.6,401.0,33.54,0.21
1663.0,254.0,82.0,0.627,324.56,90.03,365.0,33.3,0.2
1666.0,261.0,80.0,0.585,325.49,89.64,403.0,31.97,0.2
1655.0,259.0,83.0,0.77,323.51,89.5,494.0,32.18,0.2
1642.0,250.0,82.0,0.367,319.44,91.48,405.0,34.78,0.21
1652.0,261.0,81.0,0.616,321.7,90.8,450.0,33.82,0.19
1676.0,223.0,80.0,0.657,325.41,88.38,479.0,34.58,0.21
1664.0,246.0,84.0,1.068,312.29,89.92,403.0,34.27,0.2
1645.0,252.0,85.0,1.232,309.99,91.92,309.0,36.44,0.2
1648.0,237.0,86.0,0.707,326.5,87.25,451.0,33.72,0.22
1656.0,219.0,88.0,0.655,329.12,87.91,439.0,33.85,0.21
1660.0,231.0,87.0,0.581,329.94,89.3,442.0,35.03,0.2
1661.0,224.0,86.0,0.602,326.66,90.37,455.0,34.43,0.21
1625.0,225.0,87.0,0.49,323.28,90.75,407.0,33.64,0.21
1618.0,231.0,87.0,0.511,318.24,89.56,431.0,32.46,0.2
1676.0,234.0,89.0,0.341,323.78,88.76,438.0,35.79,0.21
1644.0,227.0,90.0,0.483,321.05,88.76,460.0,35.67,0.21
1620.0,252.0,86.0,0.586,323.13,89.52,471.0,33.89,0.2
1605.0,267.0,89.0,0.591,319.55,93.31,372.0,37.47,0.2
1630.0,226.0,83.0,0.622,317.7,89.99,428.0,36.68,0.21
1606.0,218.0,84.0,1.4,324.72,90.18,541.0,32.17,0.21
1634.0,244.0,83.0,0.303,320.87,90.16,379.0,36.58,0.2
1611.0,241.0,83.0,0.783,321.56,88.87,486.0,35.15,0.2
1618.0,216.0,84.0,0.609,323.57,89.22,497.0,35.45,0.2
1616.0,216.0,82.0,0.456,325.58,89.5,473.0,35.37,0.2
1638.0,215.0,83.0,0.727,325.73,89.2,515.0,35.55,0.21
1636.0,224.0,84.0,0.548,322.52,89.27,495.0,35.98,0.2
1618.0,224.0,85.0,0.435,320.72,90.41,412.0,36.98,0.2
1610.0,263.0,86.0,1.168,312.52,91.6,449.0,36.72,0.2
1608.0,241.0,84.0,0.978,315.28,91.63,413.0,36.1,0.2
1627.0,231.0,82.0,0.738,316.95,89.37,453.0,37.02,0.2
1630.0,239.0,85.0,0.579,318.31,90.52,433.0,36.63,0.2
1611.0,231.0,83.0,0.382,320.92,89.64,412.0,35.71,0.21
1631.0,238.0,86.0,0.737,321.45,89.47,487.0,34.71,0.2
1628.0,196.0,82.0,0.403,325.23,90.04,527.0,35.41,0.21
1646.0,195.0,83.0,0.507,329.38,89.0,497.0,35.06,0.21
1660.0,210.0,80.0,0.626,330.97,85.31,473.0,34.89,0.2
1625.0,198.0,80.0,0.572,325.38,85.58,443.0,37.07,0.2
1629.0,201.0,84.0,0.635,325.94,86.93,445.0,34.03,0.22
1626.0,199.0,84.0,0.374,323.63,89.59,447.0,34.39,0.2
1621.0,235.0,82.0,0.438,322.28,89.27,366.0,36.85,0.2
1616.0,220.0,82.0,0.756,324.59,87.57,497.0,35.38,0.2
1611.0,214.0,82.0,0.652,328.97,87.59,470.0,35.02,0.23
1635.0,220.0,83.0,0.769,329.82,86.93,480.0,33.55,0.2
1642.0,228.0,82.0,0.948,330.08,86.46,458.0,34.05,0.21
1621.0,219.0,83.0,0.902,330.42,86.44,444.0,34.94,0.22
1601.0,216.0,83.0,0.965,330.24,86.53,503.0,34.52,0.2
1624.0,216.0,86.0,0.946,326.38,88.46,483.0,38.42,0.19
1636.0,233.0,86.0,0.468,315.78,88.95,432.0,36.74,0.19
1633.0,226.0,86.0,0.609,314.9,90.0,474.0,37.48,0.19
1618.0,254.0,89.0,0.58,315.01,88.97,395.0,37.45,0.2
1611.0,234.0,92.0,1.425,325.58,85.57,436.0,33.62,0.19
1614.0,220.0,93.0,0.75,324.35,89.02,335.0,35.47,0.2
1624.0,210.0,90.0,0.84,316.24,89.61,445.0,36.8,0.2
1618.0,267.0,88.0,1.372,317.25,89.21,390.0,36.71,0.19
1643.0,230.0,85.0,0.764,333.87,87.5,495.0,35.99,0.18
1652.0,235.0,86.0,0.756,326.15,89.18,470.0,35.46,0.19
1639.0,264.0,87.0,0.866,326.23,90.04,379.0,35.77,0.18
1635.0,244.0,82.0,0.519,315.59,86.49,496.0,34.82,0.19
1646.0,200.0,81.0,0.418,314.41,87.13,501.0,35.73,0.18
1643.0,243.0,81.0,0.503,315.61,87.36,465.0,35.04,0.18
1646.0,264.0,81.0,0.856,315.92,86.3,520.0,34.17,0.19
1622.0,240.0,88.0,1.315,319.95,88.92,411.0,35.72,0.18
1638.0,216.0,83.0,0.857,320.71,88.72,519.0,35.39,0.18
1655.0,241.0,82.0,1.036,325.74,88.62,452.0,36.4,0.18
1646.0,237.0,83.0,1.044,323.14,88.75,492.0,34.11,0.19
1600.0,240.0,86.0,1.227,320.52,89.79,406.0,33.96,0.18
1619.0,244.0,86.0,0.93,325.09,88.25,445.0,34.59,0.17
1664.0,247.0,85.0,0.98,321.9,89.65,400.0,36.22,0.18
1662.0,252.0,86.0,1.167,316.43,91.26,442.0,35.7,0.17
1638.0,269.0,86.0,1.252,315.21,89.52,376.0,34.62,0.18
1598.0,245.0,88.0,0.971,318.66,91.69,353.0,35.97,0.19
1639.0,259.0,90.0,0.901,311.94,93.21,304.0,35.92,0.17
1649.0,250.0,88.0,0.743,316.68,92.62,405.0,33.86,0.17
1634.0,242.0,87.0,1.427,312.59,93.94,455.0,34.18,0.18
1605.0,252.0,87.0,1.435,314.92,93.59,350.0,36.0,0.18
1653.0,259.0,87.0,1.478,315.19,95.22,444.0,33.18,0.16
1630.0,276.0,88.0,1.464,314.38,93.21,341.0,32.79,0.17
1637.0,258.0,84.0,1.146,321.12,90.92,425.0,34.35,0.19
1652.0,239.0,85.0,1.301,320.14,91.45,475.0,33.74,0.17
1654.0,261.0,84.0,1.383,320.0,91.79,439.0,33.26,0.16
1657.0,248.0,85.0,1.342,319.81,91.46,422.0,33.18,0.17
1623.0,276.0,87.0,1.172,313.99,92.72,335.0,34.2,0.18
1627.0,244.0,86.0,0.949,315.58,92.29,430.0,32.82,0.19
1620.0,246.0,83.0,0.689,316.17,90.54,416.0,33.2,0.18
1620.0,188.0,84.0,0.838,317.85,89.84,538.0,32.27,0.18
1641.0,158.0,84.0,0.58,322.53,90.14,357.0,35.67,0.19
1625.0,234.0,86.0,0.963,319.27,91.69,355.0,35.97,0.17
1620.0,242.0,86.0,0.998,317.63,92.82,409.0,33.54,0.19
1628.0,242.0,84.0,0.705,321.04,90.36,401.0,34.04,0.19
1622.0,235.0,84.0,0.649,314.21,91.31,418.0,34.13,0.18
1624.0,230.0,85.0,0.585,324.14,89.31,480.0,33.77,0.18
1639.0,222.0,84.0,0.765,327.02,88.78,452.0,34.38,0.18
1653.0,210.0,86.0,1.119,324.98,90.14,542.0,34.45,0.18
1635.0,245.0,84.0,0.628,319.58,91.79,358.0,35.7,0.18
1636.0,222.0,84.0,1.198,320.61,90.61,492.0,34.2,0.17
1619.0,225.0,82.0,1.027,326.81,89.11,587.0,33.75,0.17
1626.0,241.0,84.0,0.714,321.94,90.26,460.0,34.91,0.18
1645.0,190.0,83.0,1.058,332.07,88.19,531.0,33.8,0.16
1632.0,242.0,86.0,0.78,321.29,91.75,452.0,34.08,0.18
1638.0,242.0,86.0,0.619,324.31,91.24,476.0,33.18,0.18
1636.0,245.0,84.0,0.631,316.43,92.66,400.0,34.33,0.17
1626.0,271.0,85.0,1.353,314.99,93.11,391.0,34.26,0.17
1622.0,275.0,86.0,1.05,315.0,93.21,389.0,32.99,0.18
1650.0,228.0,86.0,0.791,318.48,90.38,406.0,33.05,0.17
1635.0,237.0,86.0,1.061,315.06,91.01,364.0,35.27,0.18
