DS1,DpB,T3,VA,YseA,D2
1666.0,263.0,81.98,374.0,0.14,368.5
1641.0,248.0,82.36,381.0,0.15,375.0
1645.0,241.0,82.17,430.0,0.17,344.0
1672.0,255.0,82.42,417.0,0.16,343.0
1665.0,230.0,82.67,320.0,0.14875,367.0
1679.0,227.0,82.22,401.0,0.19,335.5
1663.0,254.0,82.06,365.0,0.14,353.5
1666.0,261.0,82.38,403.0,0.16,355.0
1655.0,259.0,82.41,494.0,0.14,327.0
1642.0,250.0,82.31,405.0,0.11,364.0
1652.0,261.0,82.44,450.0,0.16,356.0
1676.0,223.0,81.97,479.0,0.15,324.5
1664.0,246.0,82.36,403.0,0.14,378.0
1645.0,252.0,82.38,309.0,0.13,407.5
1648.0,237.0,81.74,451.0,0.13,349.0
1656.0,219.0,82.26,439.0,0.11,328.0
1660.0,231.0,82.3,442.0,0.11,330.5
1661.0,224.0,82.38,455.0,0.13,333.0
1625.0,225.0,82.39,407.0,0.16,355.0
1618.0,231.0,81.57,431.0,0.15,337.0
1676.0,234.0,82.35,438.0,0.13,339.0
1644.0,227.0,82.24,460.0,0.15,345.5
1620.0,252.0,81.83,471.0,0.14,376.5
1605.0,267.0,82.37,372.0,0.13,395.0
1630.0,226.0,82.55,428.0,0.12,343.5
1606.0,218.0,82.48,541.0,0.15,336.5
1634.0,244.0,81.92,379.0,0.12,334.5
1611.0,241.0,82.35,486.0,0.19,353.0
1618.0,216.0,82.15,497.0,0.15,325.0
1616.0,216.0,82.14,473.0,0.11,324.0
1638.0,215.0,82.23,515.0,0.15,320.5
1636.0,224.0,82.34,495.0,0.14,329.5
1618.0,224.0,82.59,412.0,0.15,340.5
1610.0,263.0,82.63,449.0,0.17,387.5
1608.0,241.0,82.5,413.0,0.16,363.0
1627.0,231.0,82.22,453.0,0.18,348.5
1630.0,239.0,82.16,433.0,0.14,362.0
1611.0,231.0,82.25,412.0,0.2,357.0
1631.0,238.0,82.68,487.0,0.21,363.5
1628.0,196.0,81.52,527.0,0.15,294.0
1646.0,195.0,81.96,497.0,0.15,288.0
1660.0,210.0,81.74,473.0,0.14,298.5
1625.0,198.0,81.35,443.0,0.18,303.0
1629.0,201.0,81.69,445.0,0.16,315.0
1626.0,199.0,82.22,447.0,0.17,329.0
1621.0,235.0,81.62,366.0,0.15,335.0
1616.0,220.0,81.6,497.0,0.16,339.5
1611.0,214.0,81.83,470.0,0.14,340.0
1635.0,220.0,81.94,480.0,0.17,331.5
1642.0,228.0,81.78,458.0,0.14,321.5
1621.0,219.0,81.82,444.0,0.13,330.5
1601.0,216.0,82.03,503.0,0.19,334.0
1624.0,216.0,82.54,483.0,0.16,325.5
1636.0,233.0,81.92,432.0,0.14,355.5
1633.0,226.0,82.36,474.0,0.18,363.0
1618.0,254.0,82.25,395.0,0.15,383.5
1611.0,234.0,82.13,436.0,0.15,367.0
1614.0,220.0,82.42,335.0,0.08,395.5
1624.0,210.0,82.11,445.0,0.14,348.0
1618.0,267.0,81.91,390.0,0.17,412.0
1643.0,230.0,81.25,495.0,0.16,350.5
1652.0,235.0,81.82,470.0,0.14,351.5
1639.0,264.0,82.3,379.0,0.1,396.5
1635.0,244.0,81.54,496.0,0.12,355.5
1646.0,200.0,81.69,501.0,0.13,346.5
1643.0,243.0,81.49,465.0,0.14,343.5
1646.0,264.0,81.54,520.0,0.14,376.5
1622.0,240.0,82.3,411.0,0.16,389.0
1638.0,216.0,81.74,519.0,0.09,340.0
1655.0,241.0,81.76,452.0,0.16,368.0
1646.0,237.0,82.17,492.0,0.15,365.0
1600.0,240.0,82.36,406.0,0.12,402.5
1619.0,244.0,82.17,445.0,0.14,365.0
1664.0,247.0,82.4,400.0,0.14,357.5
1662.0,252.0,82.58,442.0,0.12,391.0
1638.0,269.0,82.5,376.0,0.15,394.5
1598.0,245.0,82.17,353.0,0.2,402.0
1639.0,259.0,82.33,304.0,0.16,418.0
1649.0,250.0,82.76,405.0,0.11,379.5
1634.0,242.0,82.71,455.0,0.16,404.5
1605.0,252.0,82.26,350.0,0.13,419.5
1653.0,259.0,82.9,444.0,0.22,423.5
1630.0,276.0,82.33,341.0,0.16,430.5
1637.0,258.0,81.81,425.0,0.15,372.5
1652.0,239.0,82.04,475.0,0.22,375.5
1654.0,261.0,82.36,439.0,0.16,377.5
1657.0,248.0,82.34,422.0,0.15,383.0
1623.0,276.0,82.62,335.0,0.11,438.0
1627.0,244.0,82.93,430.0,0.17,408.5
1620.0,246.0,81.87,416.0,0.16,383.0
1620.0,188.0,81.71,538.0,0.21,338.0
1641.0,158.0,81.79,357.0,0.22,366.0
