DpB,T1,T3,T4,P,M01,Ds,YuntB
160.0,85.0,81.68,80.69,330.42,85.0,1490.0,0.2
203.0,89.0,82.3,80.83,326.53,85.74,1480.0,0.19
271.0,88.0,82.21,80.77,327.11,89.8,1496.0,0.21
272.0,89.0,82.06,80.57,322.52,89.8,1476.0,0.21
228.0,87.0,81.2,80.62,319.64,86.34,1473.0,0.21
255.0,84.0,82.26,80.69,323.77,87.38,1506.0,0.21
256.0,85.0,82.35,80.91,324.98,87.3,1479.0,0.2
262.0,86.0,82.3,80.85,323.64,89.04,1496.0,0.2
273.0,86.0,82.3,80.75,319.86,91.25,1507.0,0.19
252.0,85.0,82.02,80.44,318.3,88.23,1499.0,0.19
245.0,84.0,82.57,81.31,318.02,87.09,1504.0,0.2
238.0,84.0,82.77,81.4,317.49,88.41,1483.0,0.2
232.0,82.0,82.25,81.33,323.15,88.92,1493.0,0.2
221.0,83.0,82.39,81.47,323.6,89.05,1490.0,0.21
258.0,83.0,81.93,81.33,324.3,89.4,1487.0,0.19
263.0,83.0,81.98,81.4,323.09,90.5,1486.0,0.21
248.0,84.0,82.36,81.41,319.67,90.85,1476.0,0.23
241.0,82.0,82.17,81.71,326.35,90.04,1490.0,0.19
255.0,83.0,82.42,81.38,318.76,90.43,1493.0,0.2
230.0,84.0,82.67,81.52,316.95,89.85,1498.0,0.21
227.0,82.0,82.22,81.35,320.67,90.6,1494.0,0.22
254.0,82.0,82.06,81.43,324.56,90.03,1486.0,0.21
261.0,80.0,82.38,81.8,325.49,89.64,1470.0,0.21
259.0,83.0,82.41,81.82,323.51,89.5,1470.0,0.2
250.0,82.0,82.31,81.95,319.44,91.48,1497.0,0.2
261.0,81.0,82.44,81.82,321.7,90.8,1488.0,0.2
223.0,80.0,81.97,81.31,325.41,88.38,1480.0,0.22
246.0,84.0,82.36,81.3,312.29,89.92,1478.0,0.19
252.0,85.0,82.38,81.15,309.99,91.92,1508.0,0.19
237.0,86.0,81.74,81.04,326.5,87.25,1478.0,0.2
219.0,88.0,82.26,81.61,329.12,87.91,1476.0,0.22
231.0,87.0,82.3,81.72,329.94,89.3,1488.0,0.19
224.0,86.0,82.38,81.77,326.66,90.37,1487.0,0.2
225.0,87.0,82.39,81.9,323.28,90.75,1485.0,0.2
231.0,87.0,81.57,81.06,318.24,89.56,1476.0,0.21
234.0,89.0,82.35,82.01,323.78,88.76,1504.0,0.2
227.0,90.0,82.24,81.76,321.05,88.76,1502.0,0.21
252.0,86.0,81.83,81.65,323.13,89.52,1472.0,0.21
267.0,89.0,82.37,81.78,319.55,93.31,1505.0,0.21
226.0,83.0,82.55,81.93,317.7,89.99,1518.0,0.22
218.0,84.0,82.48,81.08,324.72,90.18,1476.0,0.2
244.0,83.0,81.92,81.66,320.87,90.16,1511.0,0.19
241.0,83.0,82.35,81.56,321.56,88.87,1493.0,0.19
216.0,84.0,82.15,81.54,323.57,89.22,1497.0,0.19
216.0,82.0,82.14,81.68,325.58,89.5,1491.0,0.2
215.0,83.0,82.23,81.5,325.73,89.2,1499.0,0.21
224.0,84.0,82.34,81.79,322.52,89.27,1507.0,0.19
224.0,85.0,82.59,82.16,320.72,90.41,1519.0,0.21
263.0,86.0,82.63,81.46,312.52,91.6,1513.0,0.2
241.0,84.0,82.5,81.52,315.28,91.63,1509.0,0.2
231.0,82.0,82.22,81.48,316.95,89.37,1518.0,0.22
239.0,85.0,82.16,81.58,318.31,90.52,1511.0,0.21
231.0,83.0,82.25,81.87,320.92,89.64,1504.0,0.2
238.0,86.0,82.68,81.95,321.45,89.47,1494.0,0.21
196.0,82.0,81.52,81.11,325.23,90.04,1496.0,0.19
195.0,83.0,81.96,81.46,329.38,89.0,1495.0,0.2
210.0,80.0,81.74,81.12,330.97,85.31,1486.0,0.19
198.0,80.0,81.35,80.77,325.38,85.58,1506.0,0.21
201.0,84.0,81.69,81.05,325.94,86.93,1481.0,0.21
199.0,84.0,82.22,81.85,323.63,89.59,1491.0,0.19
235.0,82.0,81.62,81.18,322.28,89.27,1515.0,0.2
220.0,82.0,81.6,80.83,324.59,87.57,1492.0,0.2
214.0,82.0,81.83,81.17,328.97,87.59,1492.0,0.21
220.0,83.0,81.94,81.17,329.82,86.93,1478.0,0.19
228.0,82.0,81.78,80.83,330.08,86.46,1484.0,0.21
219.0,83.0,81.82,80.92,330.42,86.44,1495.0,0.23
216.0,83.0,82.03,81.06,330.24,86.53,1492.0,0.21
216.0,86.0,82.54,81.6,326.38,88.46,1534.0,0.2
233.0,86.0,81.92,81.46,315.78,88.95,1522.0,0.2
226.0,86.0,82.36,81.76,314.9,90.0,1519.0,0.2
254.0,89.0,82.25,81.67,315.01,88.97,1523.0,0.2
234.0,92.0,82.13,80.71,325.58,85.57,1471.0,0.18
220.0,93.0,82.42,81.67,324.35,89.02,1496.0,0.19
210.0,90.0,82.11,81.27,316.24,89.61,1515.0,0.19
267.0,88.0,81.91,80.54,317.25,89.21,1508.0,0.2
230.0,85.0,81.25,80.84,333.87,87.5,1497.0,0.19
235.0,86.0,81.82,81.06,326.15,89.18,1491.0,0.18
264.0,87.0,82.3,81.44,326.23,90.04,1500.0,0.17
244.0,82.0,81.54,81.03,315.59,86.49,1495.0,0.18
200.0,81.0,81.69,81.33,314.41,87.13,1515.0,0.17
243.0,81.0,81.49,80.99,315.61,87.36,1504.0,0.19
264.0,81.0,81.54,80.68,315.92,86.3,1491.0,0.18
240.0,88.0,82.3,80.98,319.95,88.92,1494.0,0.19
216.0,83.0,81.74,80.88,320.71,88.72,1498.0,0.17
241.0,82.0,81.76,80.72,325.74,88.62,1502.0,0.18
237.0,83.0,82.17,81.13,323.14,88.75,1489.0,0.17
240.0,86.0,82.36,81.13,320.52,89.79,1490.0,0.17
244.0,86.0,82.17,81.24,325.09,88.25,1493.0,0.18
247.0,85.0,82.4,81.42,321.9,89.65,1508.0,0.17
252.0,86.0,82.58,81.41,316.43,91.26,1510.0,0.18
269.0,86.0,82.5,81.24,315.21,89.52,1502.0,0.18
245.0,88.0,82.17,81.2,318.66,91.69,1507.0,0.18
259.0,90.0,82.33,81.43,311.94,93.21,1510.0,0.18
250.0,88.0,82.76,82.01,316.68,92.62,1495.0,0.17
242.0,87.0,82.71,81.28,312.59,93.94,1497.0,0.17
252.0,87.0,82.26,80.83,314.92,93.59,1509.0,0.17
259.0,87.0,82.9,81.43,315.19,95.22,1496.0,0.18
276.0,88.0,82.33,80.87,314.38,93.21,1488.0,0.18
258.0,84.0,81.81,80.67,321.12,90.92,1496.0,0.18
239.0,85.0,82.04,80.74,320.14,91.45,1488.0,0.18
261.0,84.0,82.36,80.99,320.0,91.79,1487.0,0.17
248.0,85.0,82.34,81.0,319.81,91.46,1493.0,0.18
276.0,87.0,82.62,81.45,313.99,92.72,1486.0,0.17
244.0,86.0,82.93,81.98,315.58,92.29,1490.0,0.17
246.0,83.0,81.87,81.18,316.17,90.54,1494.0,0.17
188.0,84.0,81.71,80.87,317.85,89.84,1488.0,0.17
158.0,84.0,81.79,81.29,322.53,90.14,1516.0,0.18
234.0,86.0,82.41,81.45,319.27,91.69,1503.0,0.18
242.0,86.0,82.73,81.73,317.63,92.82,1494.0,0.18
242.0,84.0,82.4,81.69,321.04,90.36,1491.0,0.17
235.0,84.0,82.18,81.53,314.21,91.31,1494.0,0.17
230.0,85.0,82.11,81.53,324.14,89.31,1475.0,0.17
222.0,84.0,82.15,81.39,327.02,88.78,1489.0,0.17
210.0,86.0,82.45,81.33,324.98,90.14,1496.0,0.17
245.0,84.0,82.11,81.48,319.58,91.79,1511.0,0.16
222.0,84.0,82.07,80.87,320.61,90.61,1488.0,0.17
225.0,82.0,81.97,80.95,326.81,89.11,1489.0,0.17
241.0,84.0,81.68,80.96,321.94,90.26,1493.0,0.16
190.0,83.0,82.0,80.94,332.07,88.19,1481.0,0.16
