D1,DS1,DpB,T4,P,M01,TS1,YsynB
213.0,1633.0,307.0,80.69,321.36,76.25,33.0,0.58
232.0,1586.0,320.0,80.95,326.03,75.39,34.29,0.61
209.0,1606.0,278.0,81.17,328.68,76.09,34.95,0.6
236.0,1610.0,296.0,80.96,324.37,76.77,36.27,0.62
246.0,1595.0,307.0,81.08,323.07,81.34,34.9,0.61
247.0,1607.0,304.0,81.19,319.21,83.69,34.05,0.6
211.0,1593.0,305.0,81.12,324.54,79.11,34.63,0.59
192.0,1628.0,294.0,81.31,326.12,81.21,34.58,0.62
175.0,1634.0,271.0,80.54,327.73,76.5,35.27,0.6
160.0,1645.0,267.0,80.72,329.52,83.36,34.71,0.58
165.0,1614.0,164.0,80.97,331.96,76.01,35.18,0.61
189.0,1650.0,276.0,81.42,329.66,77.7,35.36,0.6
221.0,1619.0,310.0,81.23,324.58,77.77,34.35,0.59
232.0,1614.0,311.0,81.31,319.97,81.47,35.12,0.56
226.0,1607.0,319.0,80.91,320.19,78.69,35.71,0.57
212.0,1647.0,292.0,81.5,326.97,86.08,34.33,0.6
208.0,1640.0,302.0,81.33,324.92,85.22,34.61,0.57
224.0,1679.0,298.0,81.23,319.48,90.34,33.77,0.61
221.0,1673.0,308.0,80.95,322.56,81.5,35.03,0.57
250.0,1647.0,307.0,81.2,319.83,85.47,36.1,0.58
231.0,1627.0,316.0,80.95,318.96,84.83,33.9,0.55
225.0,1606.0,306.0,81.01,319.55,87.45,34.59,0.57
253.0,1623.0,304.0,80.68,319.96,83.6,34.75,0.57
200.0,1640.0,277.0,80.85,321.53,80.71,34.7,0.62
210.0,1657.0,286.0,81.14,321.91,82.83,35.76,0.58
227.0,1654.0,319.0,81.31,318.65,86.77,33.95,0.6
206.0,1631.0,291.0,81.17,324.07,81.84,34.83,0.58
207.0,1634.0,304.0,81.3,323.34,82.9,35.81,0.61
210.0,1639.0,298.0,81.47,322.18,84.38,35.21,0.6
214.0,1645.0,291.0,81.64,321.02,85.86,35.5,0.58
216.0,1639.0,293.0,81.75,319.98,87.17,34.38,0.6
216.0,1659.0,315.0,81.68,319.5,88.12,33.8,0.58
212.0,1655.0,306.0,81.41,319.86,85.58,34.45,0.59
223.0,1639.0,301.0,81.3,322.49,85.4,34.05,0.58
226.0,1641.0,325.0,80.8,319.64,88.72,34.71,0.6
243.0,1639.0,323.0,80.81,319.99,83.4,35.53,0.6
242.0,1625.0,313.0,81.09,319.51,81.8,35.11,0.58
198.0,1644.0,295.0,81.59,323.11,83.98,35.03,0.62
219.0,1635.0,296.0,81.42,323.16,85.02,34.58,0.6
229.0,1643.0,315.0,81.28,318.15,84.53,35.3,0.58
223.0,1636.0,307.0,80.96,320.74,79.74,35.18,0.6
238.0,1649.0,306.0,81.38,320.76,84.5,35.34,0.62
218.0,1655.0,326.0,81.26,316.73,84.88,34.92,0.6
215.0,1666.0,325.0,81.27,320.1,85.01,33.17,0.59
203.0,1671.0,305.0,81.11,321.44,83.6,33.04,0.61
210.0,1655.0,306.0,81.51,321.83,84.89,34.05,0.6
249.0,1625.0,311.0,80.39,321.04,80.88,34.6,0.58
233.0,1634.0,320.0,80.45,321.77,81.55,34.44,0.57
247.0,1633.0,301.0,80.61,322.38,82.1,36.21,0.58
230.0,1644.0,318.0,81.02,321.94,82.64,35.54,0.57
254.0,1624.0,318.0,80.96,322.21,81.26,34.56,0.6
237.0,1616.0,302.0,80.9,323.84,80.21,35.14,0.58
189.0,1670.0,252.0,81.28,318.31,84.19,36.28,0.6
209.0,1664.0,283.0,80.87,317.97,84.28,35.72,0.59
196.0,1673.0,275.0,81.33,318.19,86.56,37.71,0.57
168.0,1656.0,184.0,80.82,326.78,83.07,32.4,0.59
