D1,DpB,T3,T4,P,M01,TS1,SF,YsynA
196.0,275.0,82.35,81.33,318.19,86.56,37.71,30.87,0.59
168.0,184.0,81.8,80.82,326.78,83.07,32.4,31.24,0.58
234.0,307.0,82.06,80.95,322.82,84.01,31.94,29.34,0.6
165.0,305.0,81.76,80.59,331.06,81.63,31.21,28.54,0.59
202.0,301.0,82.21,80.98,327.74,84.38,31.78,29.74,0.58
231.0,312.0,82.12,80.7,322.7,83.23,32.4,31.91,0.59
231.0,327.0,82.53,81.07,322.81,88.03,31.22,30.43,0.57
232.0,313.0,82.3,80.8,324.18,84.33,32.62,31.12,0.58
221.0,308.0,82.4,81.09,323.15,83.87,31.36,29.34,0.58
165.0,299.0,81.95,80.86,325.76,81.2,32.38,31.61,0.61
172.0,306.0,82.05,80.77,328.49,81.92,31.28,28.49,0.6
207.0,283.0,82.41,81.21,323.04,85.08,34.95,25.72,0.62
193.0,324.0,82.07,81.06,321.14,83.86,32.6,32.43,0.61
245.0,309.0,82.31,80.98,319.99,85.37,33.43,27.13,0.58
212.0,315.0,82.42,81.01,324.51,83.21,31.25,31.73,0.62
209.0,280.0,82.08,81.04,325.26,84.58,31.48,30.99,0.63
233.0,310.0,82.12,81.11,323.33,84.57,33.82,30.63,0.55
207.0,316.0,81.55,80.8,330.62,79.41,32.5,29.75,0.57
185.0,262.0,82.05,81.17,328.69,82.31,33.08,30.93,0.55
234.0,310.0,82.47,81.1,321.68,84.21,34.06,31.57,0.56
241.0,322.0,82.58,81.11,322.24,84.46,32.12,33.25,0.58
225.0,319.0,82.47,81.12,319.8,84.61,33.54,30.26,0.58
239.0,306.0,82.2,80.83,316.91,82.14,33.95,32.28,0.54
250.0,297.0,82.58,81.26,321.84,84.57,31.09,27.62,0.58
239.0,308.0,82.39,81.51,316.82,84.44,32.78,26.8,0.55
225.0,223.0,82.93,82.01,321.08,86.82,33.36,28.99,0.54
240.0,245.0,82.55,81.61,318.71,87.59,34.56,31.61,0.57
244.0,256.0,82.24,80.9,322.04,87.07,35.43,30.82,0.56
215.0,243.0,82.5,81.45,316.95,90.29,32.7,32.34,0.54
239.0,257.0,82.18,80.73,315.53,89.04,34.49,34.85,0.55
256.0,266.0,82.0,80.66,314.89,87.05,35.78,29.52,0.56
239.0,269.0,82.28,80.78,318.14,85.22,33.9,27.07,0.53
249.0,238.0,82.65,81.6,318.1,89.57,33.34,31.18,0.56
220.0,262.0,82.17,81.04,322.81,87.25,34.05,30.02,0.54
222.0,232.0,82.58,81.53,317.08,87.72,34.59,31.48,0.57
244.0,245.0,82.55,81.56,315.53,90.45,34.37,32.1,0.56
239.0,242.0,82.33,81.38,314.82,91.53,33.14,33.09,0.59
257.0,234.0,82.27,81.0,315.03,93.27,34.57,30.26,0.61
195.0,200.0,81.1,80.39,316.91,86.98,34.74,33.38,0.62
170.0,179.0,81.04,80.4,325.3,82.71,32.8,30.99,0.6
246.0,278.0,82.36,81.17,323.14,83.03,34.79,29.46,0.64
235.0,252.0,82.34,81.06,319.81,88.01,37.68,27.01,0.57
236.0,294.0,82.31,80.84,323.43,86.38,35.38,33.44,0.58
177.0,234.0,81.86,80.89,328.58,80.75,33.72,35.22,0.57
189.0,235.0,82.16,80.8,323.52,83.35,36.94,25.07,0.57
253.0,258.0,82.26,80.79,319.66,88.47,32.13,31.67,0.61
239.0,270.0,82.21,80.77,319.59,89.36,36.24,31.6,0.65
211.0,279.0,82.03,80.68,321.31,86.3,34.2,33.02,0.64
263.0,272.0,81.51,80.13,323.12,84.25,33.47,29.89,0.62
254.0,264.0,81.98,80.36,324.63,88.07,35.24,32.46,0.6
251.0,231.0,82.36,80.89,324.79,93.28,33.45,31.97,0.58
195.0,188.0,81.9,80.75,327.54,89.95,36.44,32.16,0.58
259.0,250.0,82.42,81.02,325.26,99.93,32.81,30.26,0.57
254.0,247.0,82.06,80.62,318.27,97.07,31.76,31.47,0.61
203.0,270.0,81.9,80.71,325.62,90.92,35.84,30.86,0.59
169.0,160.0,81.68,80.69,330.42,85.0,34.38,30.73,0.57
204.0,203.0,82.3,80.83,326.53,85.74,32.08,30.38,0.56
240.0,271.0,82.21,80.77,327.11,89.8,34.68,33.01,0.57
262.0,272.0,82.06,80.57,322.52,89.8,32.22,31.36,0.58
223.0,228.0,81.2,80.62,319.64,86.34,31.8,28.73,0.57
225.0,255.0,82.26,80.69,323.77,87.38,35.43,32.7,0.6
211.0,256.0,82.35,80.91,324.98,87.3,32.26,29.97,0.57
227.0,262.0,82.3,80.85,323.64,89.04,34.51,30.44,0.59
237.0,273.0,82.3,80.75,319.86,91.25,35.67,33.32,0.58
236.0,252.0,82.02,80.44,318.3,88.23,34.79,34.73,0.6
256.0,245.0,82.57,81.31,318.02,87.09,36.23,35.95,0.57
226.0,238.0,82.77,81.4,317.49,88.41,32.53,32.46,0.59
211.0,232.0,82.25,81.33,323.15,88.92,34.67,31.48,0.6
207.0,221.0,82.39,81.47,323.6,89.05,34.4,31.54,0.61
193.0,258.0,81.93,81.33,324.3,89.4,33.71,30.51,0.57
210.0,263.0,81.98,81.4,323.09,90.5,34.2,32.98,0.58
233.0,248.0,82.36,81.41,319.67,90.85,32.33,34.74,0.54
200.0,241.0,82.17,81.71,326.35,90.04,34.17,31.97,0.54
203.0,255.0,82.42,81.38,318.76,90.43,33.97,34.12,0.56
251.0,230.0,82.67,81.52,316.95,89.85,34.43,34.55,0.545
185.0,227.0,82.22,81.35,320.67,90.6,33.54,30.99,0.57
192.0,254.0,82.06,81.43,324.56,90.03,33.3,31.84,0.58
186.0,261.0,82.38,81.8,325.49,89.64,31.97,32.46,0.58
198.0,259.0,82.41,81.82,323.51,89.5,32.18,31.79,0.59
225.0,250.0,82.31,81.95,319.44,91.48,34.78,32.89,0.58
204.0,261.0,82.44,81.82,321.7,90.8,33.82,33.87,0.59
188.0,223.0,81.97,81.31,325.41,88.38,34.58,29.82,0.55
248.0,246.0,82.36,81.3,312.29,89.92,34.27,30.26,0.56
258.0,252.0,82.38,81.15,309.99,91.92,36.44,29.34,0.58
207.0,237.0,81.74,81.04,326.5,87.25,33.72,32.22,0.58
186.0,219.0,82.26,81.61,329.12,87.91,33.85,30.75,0.55
191.0,231.0,82.3,81.72,329.94,89.3,35.03,28.11,0.56
184.0,224.0,82.38,81.77,326.66,90.37,34.43,33.38,0.6
205.0,225.0,82.39,81.9,323.28,90.75,33.64,30.44,0.57
208.0,231.0,81.57,81.06,318.24,89.56,32.46,31.97,0.59
189.0,234.0,82.35,82.01,323.78,88.76,35.79,24.75,0.57
198.0,227.0,82.24,81.76,321.05,88.76,35.67,30.01,0.59
220.0,252.0,81.83,81.65,323.13,89.52,33.89,24.68,0.59
259.0,267.0,82.37,81.78,319.55,93.31,37.47,24.74,0.6
212.0,226.0,82.55,81.93,317.7,89.99,36.68,27.45,0.59
204.0,218.0,82.48,81.08,324.72,90.18,32.17,33.81,0.56
210.0,244.0,81.92,81.66,320.87,90.16,36.58,28.75,0.57
230.0,241.0,82.35,81.56,321.56,88.87,35.15,29.95,0.6
213.0,216.0,82.15,81.54,323.57,89.22,35.45,26.78,0.56
206.0,216.0,82.14,81.68,325.58,89.5,35.37,29.4,0.57
199.0,215.0,82.23,81.5,325.73,89.2,35.55,30.96,0.58
204.0,224.0,82.34,81.79,322.52,89.27,35.98,26.89,0.57
236.0,224.0,82.59,82.16,320.72,90.41,36.98,30.57,0.54
263.0,263.0,82.63,81.46,312.52,91.6,36.72,32.16,0.58
244.0,241.0,82.5,81.52,315.28,91.63,36.1,32.81,0.59
229.0,231.0,82.22,81.48,316.95,89.37,37.02,27.74,0.54
213.0,239.0,82.16,81.58,318.31,90.52,36.63,28.97,0.56
223.0,231.0,82.25,81.87,320.92,89.64,35.71,31.79,0.55
227.0,238.0,82.68,81.95,321.45,89.47,34.71,30.99,0.54
172.0,196.0,81.52,81.11,325.23,90.04,35.41,29.16,0.57
171.0,195.0,81.96,81.46,329.38,89.0,35.06,29.89,0.55
174.0,210.0,81.74,81.12,330.97,85.31,34.89,30.56,0.54
174.0,198.0,81.35,80.77,325.38,85.58,37.07,29.03,0.56
187.0,201.0,81.69,81.05,325.94,86.93,34.03,31.17,0.54
219.0,199.0,82.22,81.85,323.63,89.59,34.39,28.5,0.55
218.0,235.0,81.62,81.18,322.28,89.27,36.85,31.61,0.54
197.0,220.0,81.6,80.83,324.59,87.57,35.38,28.23,0.53
201.0,214.0,81.83,81.17,328.97,87.59,35.02,30.81,0.55
204.0,220.0,81.94,81.17,329.82,86.93,33.55,28.32,0.59
194.0,228.0,81.78,80.83,330.08,86.46,34.05,26.83,0.57
190.0,219.0,81.82,80.92,330.42,86.44,34.94,27.9,0.56
212.0,216.0,82.03,81.06,330.24,86.53,34.52,29.89,0.55
216.0,216.0,82.54,81.6,326.38,88.46,38.42,28.04,0.57
208.0,233.0,81.92,81.46,315.78,88.95,36.74,29.58,0.57
231.0,226.0,82.36,81.76,314.9,90.0,37.48,30.43,0.56
261.0,254.0,82.25,81.67,315.01,88.97,37.45,30.2,0.57
219.0,234.0,82.13,80.71,325.58,85.57,33.62,23.8,0.56
254.0,220.0,82.42,81.67,324.35,89.02,35.47,27.41,0.58
237.0,210.0,82.11,81.27,316.24,89.61,36.8,28.72,0.57
265.0,267.0,81.91,80.54,317.25,89.21,36.71,28.04,0.58
190.0,230.0,81.25,80.84,333.87,87.5,35.99,30.34,0.57
224.0,235.0,81.82,81.06,326.15,89.18,35.46,28.01,0.56
237.0,264.0,82.3,81.44,326.23,90.04,35.77,27.2,0.55
194.0,244.0,81.54,81.03,315.59,86.49,34.82,35.77,0.58
191.0,200.0,81.69,81.33,314.41,87.13,35.73,29.73,0.56
189.0,243.0,81.49,80.99,315.61,87.36,35.04,27.44,0.57
198.0,264.0,81.54,80.68,315.92,86.3,34.17,30.63,0.56
239.0,240.0,82.3,80.98,319.95,88.92,35.72,28.93,0.58
199.0,216.0,81.74,80.88,320.71,88.72,35.39,30.62,0.58
192.0,241.0,81.76,80.72,325.74,88.62,36.4,29.33,0.57
200.0,237.0,82.17,81.13,323.14,88.75,34.11,30.13,0.56
252.0,240.0,82.36,81.13,320.52,89.79,33.96,29.51,0.57
216.0,244.0,82.17,81.24,325.09,88.25,34.59,29.52,0.56
208.0,247.0,82.4,81.42,321.9,89.65,36.22,29.77,0.55
229.0,252.0,82.58,81.41,316.43,91.26,35.7,29.82,0.58
236.0,269.0,82.5,81.24,315.21,89.52,34.62,29.65,0.57
242.0,245.0,82.17,81.2,318.66,91.69,35.97,28.36,0.55
266.0,259.0,82.33,81.43,311.94,93.21,35.92,30.14,0.57
235.0,250.0,82.76,82.01,316.68,92.62,33.86,32.63,0.54
248.0,242.0,82.71,81.28,312.59,93.94,34.18,32.35,0.54
267.0,252.0,82.26,80.83,314.92,93.59,36.0,32.4,0.55
217.0,259.0,82.9,81.43,315.19,95.22,33.18,30.92,0.57
264.0,276.0,82.33,80.87,314.38,93.21,32.79,31.31,0.55
209.0,258.0,81.81,80.67,321.12,90.92,34.35,31.17,0.57
210.0,239.0,82.04,80.74,320.14,91.45,33.74,31.67,0.58
209.0,261.0,82.36,80.99,320.0,91.79,33.26,32.28,0.56
217.0,248.0,82.34,81.0,319.81,91.46,33.18,29.59,0.58
265.0,276.0,82.62,81.45,313.99,92.72,34.2,32.32,0.56
260.0,244.0,82.93,81.98,315.58,92.29,32.82,31.53,0.55
227.0,246.0,81.87,81.18,316.17,90.54,33.2,36.46,0.56
205.0,188.0,81.71,80.87,317.85,89.84,32.27,28.97,0.58
180.0,158.0,81.79,81.29,322.53,90.14,35.67,25.52,0.56
251.0,234.0,82.41,81.45,319.27,91.69,35.97,36.46,0.57
245.0,242.0,82.73,81.73,317.63,92.82,33.54,33.57,0.57
234.0,242.0,82.4,81.69,321.04,90.36,34.04,29.29,0.56
217.0,235.0,82.18,81.53,314.21,91.31,34.13,33.2,0.57
205.0,230.0,82.11,81.53,324.14,89.31,33.77,26.35,0.56
195.0,222.0,82.15,81.39,327.02,88.78,34.38,32.38,0.55
200.0,210.0,82.45,81.33,324.98,90.14,34.45,28.92,0.57
213.0,245.0,82.11,81.48,319.58,91.79,35.7,31.35,0.56
224.0,222.0,82.07,80.87,320.61,90.61,34.2,31.37,0.57
189.0,225.0,81.97,80.95,326.81,89.11,33.75,28.59,0.55
200.0,241.0,81.68,80.96,321.94,90.26,34.91,30.92,0.57
169.0,190.0,82.0,80.94,332.07,88.19,33.8,33.5,0.56
224.0,242.0,82.03,81.25,321.29,91.75,34.08,30.01,0.57
225.0,242.0,82.09,81.47,324.31,91.24,33.18,25.44,0.53
215.0,245.0,81.88,81.24,316.43,92.66,34.33,33.81,0.55
243.0,271.0,82.23,80.88,314.99,93.11,34.26,33.69,0.56
245.0,275.0,82.09,81.03,315.0,93.21,32.99,30.56,0.57
213.0,228.0,82.41,81.62,318.48,90.38,33.05,28.76,0.58
251.0,237.0,82.51,81.44,315.06,91.01,35.27,32.83,0.57
245.0,262.0,82.04,81.23,314.05,91.89,33.22,30.41,0.56
211.0,248.0,81.95,80.64,323.38,88.92,34.71,33.65,0.57
226.0,238.0,81.96,81.43,319.37,88.7,35.16,33.69,0.57
228.0,219.0,82.0,81.39,319.32,89.58,32.79,28.42,0.58
232.0,228.0,82.1,81.55,322.35,88.86,34.46,30.26,0.56
213.0,248.0,82.18,81.14,319.75,88.83,34.18,30.32,0.56
217.0,241.0,82.35,81.5,319.33,91.14,33.74,29.88,0.54
219.0,234.0,82.31,81.55,315.22,92.06,33.5,29.95,0.56
218.0,226.0,82.25,81.41,318.11,90.8,33.95,33.45,0.57
219.0,259.0,82.2,81.06,318.06,91.29,34.07,34.11,0.56
217.0,223.0,82.76,80.6,323.34,87.81,35.66,31.73,0.54
209.0,240.0,82.9,81.34,319.96,90.53,34.09,29.28,0.58
193.0,236.0,82.07,80.87,319.85,86.85,34.04,31.61,0.57
236.0,258.0,82.06,80.42,317.66,86.57,33.5,31.11,0.57
156.0,168.0,82.34,81.14,326.74,85.32,33.47,28.3,0.56
183.0,266.0,82.35,81.09,319.78,86.54,35.03,31.79,0.59
218.0,272.0,82.58,81.18,319.51,87.68,34.03,27.08,0.55
241.0,265.0,81.97,80.42,318.64,89.65,33.64,29.87,0.57
249.0,270.0,81.79,80.19,319.99,89.57,34.69,31.0,0.58
197.0,258.0,81.58,80.39,327.58,87.48,32.95,31.75,0.55
165.0,245.0,80.99,79.88,330.3,84.86,33.59,28.84,0.56
237.0,233.0,82.45,80.98,323.88,88.85,34.95,29.7,0.58
234.0,261.0,82.23,80.83,319.75,87.7,33.72,30.69,0.56
199.0,242.0,81.58,80.28,321.21,86.27,33.29,29.58,0.55
232.0,246.0,82.24,80.69,324.26,85.77,35.17,32.52,0.56
209.0,223.0,82.13,80.7,324.86,89.87,33.54,27.39,0.54
156.0,143.0,82.14,81.04,329.34,86.81,35.0,28.3,0.57
236.0,244.0,82.42,80.63,321.53,91.4,34.72,31.48,0.58
230.0,254.0,82.13,80.58,325.01,87.93,33.77,30.36,0.57
212.0,234.0,82.28,80.82,323.0,86.07,34.43,33.0,0.6
188.0,154.0,82.23,80.84,322.42,87.14,34.63,28.67,0.57
257.0,261.0,82.67,80.62,312.29,86.53,33.51,26.51,0.57
218.0,240.0,82.82,81.3,317.38,89.93,34.49,28.83,0.59
204.0,255.0,80.92,81.24,317.03,86.24,34.32,31.01,0.57
242.0,276.0,82.41,81.17,311.64,90.09,33.57,30.75,0.61
188.0,153.0,82.07,81.24,316.0,88.64,37.68,33.46,0.59
234.0,274.0,82.47,81.02,314.41,89.31,35.26,29.7,0.58
249.0,239.0,82.32,80.75,317.24,86.37,36.4,36.87,0.57
227.0,275.0,82.9,81.56,313.8,88.88,36.03,32.41,0.59
249.0,303.0,82.42,81.09,312.99,88.12,34.77,31.55,0.57
244.0,280.0,82.57,81.06,313.44,88.28,34.3,30.57,0.59
249.0,293.0,82.85,81.4,313.43,90.71,35.99,28.66,0.6
221.0,281.0,82.16,80.92,314.46,89.56,35.35,31.24,0.59
244.0,279.0,82.64,81.08,314.74,89.33,34.59,33.08,0.62
223.0,274.0,82.3,80.87,319.07,87.82,35.58,32.53,0.63
215.0,283.0,82.44,80.67,319.77,86.77,36.59,31.36,0.62
205.0,281.0,82.47,80.7,317.68,88.47,34.71,29.03,0.61875
