D1,DS1,DSF,DpA,DpB,T1,T2,T3,T4,deltaT,P,M01,M02,VA,VB,D2A,D2B,Ds,TS1,SF,D3A,D3B,DS2A,DS2B,POA,POB,TsA,TsB,SFA,SFB,DgA,YseA,YsynA,YuntA,CaoA,DgB,YseB,YsynB,YuntB,CaoB,Ym,CaO,R
156.0,1614.0,67.0,239.0,342.0,83.0,82.23,80.56,80.93,1.886,319.36,92.13,,510.0,457.0,374.0,476.0,1458.0,31.81,33.8,45.04125,99.73,1221.0,1231.0,24.12,24.22,1.22,1.11,26.44,27.93,119.0,0.11,0.6,0.22,32.35,113.0,0.16,0.6,0.21,32.4,0.95,32.38,95.01
189.0,1566.0,53.0,135.5,262.0,72.0,81.17999999999999,80.56,79.58500000000001,0.01,344.2125,88.44,45.89,598.0,400.0,261.0,464.0,1443.0,28.625000000000007,33.98,72.8,79.45,,1227.0,,,,,,,94.0,,,,,94.5,,,,,,,
,1566.0,53.0,135.5,191.0,72.0,81.17999999999999,80.56,79.58500000000001,,344.2125,69.76000000000002,39.62,356.0,700.5,254.0,275.5,1443.0,28.625000000000007,24.5,135.04,124.04,,,,,,,,,93.0,,,,,130.0,,,,,,,
270.0,1566.0,53.0,135.5,127.0,72.0,81.17999999999999,80.56,79.58500000000001,0.229,344.2125,95.42,98.38,656.875,700.5,,,,,,,,,,,,,,,,152.0,,,,,150.0,,,,,,,
291.5,1566.0,53.0,135.5,127.0,72.0,81.17999999999999,80.56,79.58500000000001,1.995,344.2125,96.1,99.95,656.875,700.5,,,,,24.11874999999999,,31.750000000000007,,,,,,,,,106.0,,,,,118.0,,,,,,,
,1566.0,53.0,135.5,127.0,73.0,81.17999999999999,80.56,79.58500000000001,1.439,344.2125,99.89,99.95,656.875,700.5,,,,,37.14875000000001,,,,,,,,,,,129.0,,,,,129.0,,,,,,,
,1566.0,53.0,135.5,127.0,73.0,81.17999999999999,80.56,79.58500000000001,0.002,344.2125,99.47,99.95,656.875,700.5,,,,,,,31.750000000000007,,,,,,,,,110.0,,,,,99.0,,,,,,,
,1566.0,53.0,135.5,136.0,74.0,81.17999999999999,80.56,79.58500000000001,1.333,344.2125,93.1,99.95,656.875,700.5,,,,,36.75,,31.750000000000007,,,,,,,,,,,,,,94.5,,,,,,,
,1566.0,53.0,135.5,171.0,79.0,81.17999999999999,80.56,79.58500000000001,1.215,344.2125,95.56,99.95,656.875,700.5,,,,,37.14875000000001,,31.750000000000007,,,,,,,,,,,,,,94.5,,,,,,,
,1566.0,53.0,135.5,160.0,79.0,81.17999999999999,80.56,79.58500000000001,0.04,344.2125,95.99,99.95,656.875,700.5,,,,,,,31.750000000000007,,,,,,,,,,,,,,94.5,,,,,,,
,1566.0,53.0,135.5,142.0,82.0,82.39,81.27,81.43,0.623,344.2125,98.55,99.95,656.875,700.5,,,,,,,31.750000000000007,,,,,,,,,,,,,,94.5,,,,,,,
