D1,DS1,DpB,T1,T3,T4,P,M01,TS1,SF,YsynA,D2
233.0,1634.0,320.0,88.0,81.83,80.45,321.77,81.55,34.44,28.15,0.58,427.5
247.0,1633.0,301.0,87.0,82.17,80.61,322.38,82.1,36.21,29.21,0.57,390.0
230.0,1644.0,318.0,88.0,82.47,81.02,321.94,82.64,35.54,29.52,0.58,421.0
254.0,1624.0,318.0,89.0,82.31,80.96,322.21,81.26,34.56,31.41,0.59,425.0
237.0,1616.0,302.0,88.0,82.24,80.9,323.84,80.21,35.14,31.35,0.57,409.0
189.0,1670.0,252.0,86.0,81.03,81.28,318.31,84.19,36.28,30.86,0.59,389.5
209.0,1664.0,283.0,83.0,82.03,80.87,317.97,84.28,35.72,31.48,0.62,377.0
196.0,1673.0,275.0,83.0,82.35,81.33,318.19,86.56,37.71,30.87,0.59,373.0
168.0,1656.0,184.0,81.0,81.8,80.82,326.78,83.07,32.4,31.24,0.58,428.0
234.0,1628.0,307.0,85.0,82.06,80.95,322.82,84.01,31.94,29.34,0.6,402.5
165.0,1646.0,305.0,82.0,81.76,80.59,331.06,81.63,31.21,28.54,0.59,361.0
202.0,1631.0,301.0,83.0,82.21,80.98,327.74,84.38,31.78,29.74,0.58,375.0
231.0,1650.0,312.0,84.0,82.12,80.7,322.7,83.23,32.4,31.91,0.59,412.5
231.0,1650.0,327.0,83.0,82.53,81.07,322.81,88.03,31.22,30.43,0.57,446.5
232.0,1632.0,313.0,85.0,82.3,80.8,324.18,84.33,32.62,31.12,0.58,405.0
221.0,1654.0,308.0,84.0,82.4,81.09,323.15,83.87,31.36,29.34,0.58,411.5
165.0,1681.0,299.0,84.0,81.95,80.86,325.76,81.2,32.38,31.61,0.61,358.0
172.0,1659.0,306.0,82.0,82.05,80.77,328.49,81.92,31.28,28.49,0.6,407.0
207.0,1652.0,283.0,85.0,82.41,81.21,323.04,85.08,34.95,25.72,0.62,361.0
193.0,1645.0,324.0,84.0,82.07,81.06,321.14,83.86,32.6,32.43,0.61,420.5
245.0,1642.0,309.0,86.0,82.31,80.98,319.99,85.37,33.43,27.13,0.58,398.0
212.0,1640.0,315.0,85.0,82.42,81.01,324.51,83.21,31.25,31.73,0.62,399.5
209.0,1652.0,280.0,85.0,82.08,81.04,325.26,84.58,31.48,30.99,0.63,383.0
233.0,1631.0,310.0,90.0,82.12,81.11,323.33,84.57,33.82,30.63,0.55,408.0
207.0,1625.0,316.0,91.0,81.55,80.8,330.62,79.41,32.5,29.75,0.57,410.5
185.0,1642.0,262.0,89.0,82.05,81.17,328.69,82.31,33.08,30.93,0.55,395.0
234.0,1635.0,310.0,92.0,82.47,81.1,321.68,84.21,34.06,31.57,0.56,394.5
241.0,1646.0,322.0,91.0,82.58,81.11,322.24,84.46,32.12,33.25,0.58,408.0
225.0,1630.0,319.0,91.0,82.47,81.12,319.8,84.61,33.54,30.26,0.58,411.0
239.0,1623.0,306.0,89.0,82.2,80.83,316.91,82.14,33.95,32.28,0.54,398.5
250.0,1618.0,297.0,88.0,82.58,81.26,321.84,84.57,31.09,27.62,0.58,391.5
239.0,1617.0,308.0,89.0,82.39,81.51,316.82,84.44,32.78,26.8,0.55,397.5
