DS1,DpA,DpB,T1,T4,deltaT,P,M01,VA,TS1,YuntA
1642.0,158.0,262.0,89.0,81.17,0.883,328.69,82.31,513.0,33.08,0.2
1635.0,209.0,310.0,92.0,81.1,1.37,321.68,84.21,368.0,34.06,0.21
1646.0,216.0,322.0,91.0,81.11,1.467,322.24,84.46,305.0,32.12,0.21
1630.0,215.0,319.0,91.0,81.12,1.352,319.8,84.61,358.0,33.54,0.2
1623.0,216.0,306.0,89.0,80.83,1.374,316.91,82.14,326.0,33.95,0.2
1618.0,212.0,297.0,88.0,81.26,1.323,321.84,84.57,457.0,31.09,0.21
1617.0,218.0,308.0,89.0,81.51,0.868,316.82,84.44,330.0,32.78,0.2
1648.0,216.0,223.0,88.0,82.01,0.926,321.08,86.82,388.0,33.36,0.2
1656.0,220.0,245.0,88.0,81.61,0.935,318.71,87.59,404.0,34.56,0.21
1607.0,224.0,256.0,86.0,80.9,1.335,322.04,87.07,400.0,35.43,0.2
1653.0,223.0,243.0,87.0,81.45,1.05,316.95,90.29,379.0,32.7,0.2
1626.0,240.0,257.0,88.0,80.73,1.45,315.53,89.04,331.0,34.49,0.21
1615.0,241.0,266.0,89.0,80.66,1.335,314.89,87.05,406.0,35.78,0.2
1628.0,257.0,269.0,89.0,80.78,1.497,318.14,85.22,443.0,33.9,0.2
1642.0,239.0,238.0,88.0,81.6,1.051,318.1,89.57,387.0,33.34,0.21
1640.0,242.0,262.0,88.0,81.04,1.136,322.81,87.25,427.0,34.05,0.22
1647.0,234.0,232.0,90.0,81.53,1.048,317.08,87.72,430.0,34.59,0.22
1648.0,238.0,245.0,89.0,81.56,0.991,315.53,90.45,429.0,34.37,0.21
1624.0,242.0,242.0,90.0,81.38,0.949,314.82,91.53,403.0,33.14,0.2
1613.0,240.0,234.0,90.0,81.0,1.263,315.03,93.27,450.0,34.57,0.23
1611.0,196.0,200.0,89.0,80.39,0.711,316.91,86.98,431.0,34.74,0.21
1647.0,178.0,179.0,88.0,80.4,0.645,325.3,82.71,507.0,32.8,0.22
1621.0,286.0,278.0,89.0,81.17,1.186,323.14,83.03,311.0,34.79,0.23
1637.0,243.0,252.0,90.0,81.06,1.279,319.81,88.01,403.0,37.68,0.2
1627.0,257.0,294.0,89.0,80.84,1.47,323.43,86.38,453.0,35.38,0.2
1623.0,223.0,234.0,86.0,80.89,0.975,328.58,80.75,367.0,33.72,0.22
1632.0,255.0,235.0,89.0,80.8,1.359,323.52,83.35,367.0,36.94,0.22
1621.0,241.0,258.0,91.0,80.79,1.479,319.66,88.47,416.0,32.13,0.21
1627.0,242.0,270.0,92.0,80.77,1.437,319.59,89.36,403.0,36.24,0.2
1634.0,255.0,279.0,90.0,80.68,1.342,321.31,86.3,454.0,34.2,0.21
1629.0,252.0,272.0,90.0,80.13,1.38,323.12,84.25,357.0,33.47,0.22
1612.0,253.0,264.0,90.0,80.36,1.613,324.63,88.07,374.0,35.24,0.22
1599.0,247.0,231.0,90.0,80.89,1.472,324.79,93.28,453.0,33.45,0.22
1622.0,198.0,188.0,87.0,80.75,1.152,327.54,89.95,492.0,36.44,0.2
1601.0,242.0,250.0,90.0,81.02,1.403,325.26,99.93,452.0,32.81,0.21
1605.0,224.0,247.0,89.0,80.62,1.44,318.27,97.07,427.0,31.76,0.2
1630.0,192.0,270.0,88.0,80.71,1.192,325.62,90.92,525.0,35.84,0.21
