DS1,DpB,T3,M01,VA,YseA,D2
1611.0,214.0,81.83,87.59,470.0,0.14,340.0
1635.0,220.0,81.94,86.93,480.0,0.17,331.5
1642.0,228.0,81.78,86.46,458.0,0.14,321.5
1621.0,219.0,81.82,86.44,444.0,0.13,330.5
1601.0,216.0,82.03,86.53,503.0,0.19,334.0
1624.0,216.0,82.54,88.46,483.0,0.16,325.5
1636.0,233.0,81.92,88.95,432.0,0.14,355.5
1633.0,226.0,82.36,90.0,474.0,0.18,363.0
1618.0,254.0,82.25,88.97,395.0,0.15,383.5
1611.0,234.0,82.13,85.57,436.0,0.15,367.0
1614.0,220.0,82.42,89.02,335.0,0.08,395.5
1624.0,210.0,82.11,89.61,445.0,0.14,348.0
1618.0,267.0,81.91,89.21,390.0,0.17,412.0
1643.0,230.0,81.25,87.5,495.0,0.16,350.5
1652.0,235.0,81.82,89.18,470.0,0.14,351.5
1639.0,264.0,82.3,90.04,379.0,0.1,396.5
1635.0,244.0,81.54,86.49,496.0,0.12,355.5
1646.0,200.0,81.69,87.13,501.0,0.13,346.5
1643.0,243.0,81.49,87.36,465.0,0.14,343.5
1646.0,264.0,81.54,86.3,520.0,0.14,376.5
1622.0,240.0,82.3,88.92,411.0,0.16,389.0
1638.0,216.0,81.74,88.72,519.0,0.09,340.0
1655.0,241.0,81.76,88.62,452.0,0.16,368.0
1646.0,237.0,82.17,88.75,492.0,0.15,365.0
1600.0,240.0,82.36,89.79,406.0,0.12,402.5
1619.0,244.0,82.17,88.25,445.0,0.14,365.0
1664.0,247.0,82.4,89.65,400.0,0.14,357.5
1662.0,252.0,82.58,91.26,442.0,0.12,391.0
1638.0,269.0,82.5,89.52,376.0,0.15,394.5
1598.0,245.0,82.17,91.69,353.0,0.2,402.0
1639.0,259.0,82.33,93.21,304.0,0.16,418.0
1649.0,250.0,82.76,92.62,405.0,0.11,379.5
1634.0,242.0,82.71,93.94,455.0,0.16,404.5
1605.0,252.0,82.26,93.59,350.0,0.13,419.5
1653.0,259.0,82.9,95.22,444.0,0.22,423.5
1630.0,276.0,82.33,93.21,341.0,0.16,430.5
1637.0,258.0,81.81,90.92,425.0,0.15,372.5
1652.0,239.0,82.04,91.45,475.0,0.22,375.5
1654.0,261.0,82.36,91.79,439.0,0.16,377.5
1657.0,248.0,82.34,91.46,422.0,0.15,383.0
1623.0,276.0,82.62,92.72,335.0,0.11,438.0
1627.0,244.0,82.93,92.29,430.0,0.17,408.5
1620.0,246.0,81.87,90.54,416.0,0.16,383.0
1620.0,188.0,81.71,89.84,538.0,0.21,338.0
1641.0,158.0,81.79,90.14,357.0,0.22,366.0
1625.0,234.0,82.41,91.69,355.0,0.15,404.5
1620.0,242.0,82.73,92.82,409.0,0.14,416.0
1628.0,242.0,82.4,90.36,401.0,0.17,382.0
1622.0,235.0,82.18,91.31,418.0,0.18,377.0
1624.0,230.0,82.11,89.31,480.0,0.18,381.5
1639.0,222.0,82.15,88.78,452.0,0.13,346.0
1653.0,210.0,82.45,90.14,542.0,0.15,320.5
1635.0,245.0,82.11,91.79,358.0,0.15,366.5
1636.0,222.0,82.07,90.61,492.0,0.14,350.5
1619.0,225.0,81.97,89.11,587.0,0.15,340.0
1626.0,241.0,81.68,90.26,460.0,0.18,351.0
1645.0,190.0,82.0,88.19,531.0,0.16,332.5
1632.0,242.0,82.03,91.75,452.0,0.12,364.5
1638.0,242.0,82.09,91.24,476.0,0.22,349.5
1636.0,245.0,81.88,92.66,400.0,0.18,357.5
1626.0,271.0,82.23,93.11,391.0,0.16,419.0
1622.0,275.0,82.09,93.21,389.0,0.17,419.0
1650.0,228.0,82.41,90.38,406.0,0.15,359.0
1635.0,237.0,82.51,91.01,364.0,0.14,373.5
1637.0,262.0,82.04,91.89,367.0,0.16,394.0
1614.0,248.0,81.95,88.92,510.0,0.17,369.0
1617.0,238.0,81.96,88.7,431.0,0.17,360.0
1610.0,219.0,82.0,89.58,500.0,0.18,363.0
1613.0,228.0,82.1,88.86,463.0,0.16,354.5
1626.0,248.0,82.18,88.83,478.0,0.11,376.5
1638.0,241.0,82.35,91.14,476.0,0.15,355.5
1644.0,234.0,82.31,92.06,455.0,0.13,353.0
1645.0,226.0,82.25,90.8,433.0,0.1,364.0
1653.0,259.0,82.2,91.29,445.0,0.13,367.5
1635.0,223.0,82.76,87.81,476.0,0.17,332.5
1666.0,240.0,82.9,90.53,493.0,0.15,370.5
1644.0,236.0,82.07,86.85,492.0,0.2,379.5
1633.0,258.0,82.06,86.57,499.0,0.14,382.0
1654.0,168.0,82.34,85.32,505.0,0.21,398.0
1675.0,266.0,82.35,86.54,487.0,0.18,376.5
1642.0,272.0,82.58,87.68,438.0,0.2,391.5
1638.0,265.0,81.97,89.65,449.0,0.17,398.5
1616.0,270.0,81.79,89.57,428.0,0.22,423.5
1636.0,258.0,81.58,87.48,508.0,0.15,366.0
1637.0,245.0,80.99,84.86,635.0,0.22,336.5
1631.0,233.0,82.45,88.85,429.0,0.2,370.0
1615.0,261.0,82.23,87.7,451.0,0.15,391.0
1626.0,242.0,81.58,86.27,494.0,0.15,359.0
1625.0,246.0,82.24,85.77,484.0,0.14,373.5
1608.0,223.0,82.13,89.87,544.0,0.13,344.5
1634.0,143.0,82.14,86.81,531.0,0.2,359.5
1610.0,244.0,82.42,91.4,447.0,0.12,403.5
1613.0,254.0,82.13,87.93,490.0,0.22,368.0
1633.0,234.0,82.28,86.07,435.0,0.2,356.5
1645.0,154.0,82.23,87.14,555.0,0.16,361.0
1625.0,261.0,82.67,86.53,486.0,0.18,403.0
1640.0,240.0,82.82,89.93,396.0,0.15,361.0
1574.0,255.0,80.92,86.24,480.0,0.18,361.5
1627.0,276.0,82.41,90.09,377.0,0.19,420.5
1642.0,153.0,82.07,88.64,453.0,0.21,361.5
1605.0,274.0,82.47,89.31,466.0,0.15,385.5
1600.0,239.0,82.32,86.37,527.0,0.12,378.0
1648.0,275.0,82.9,88.88,424.0,0.17,381.0
1639.0,303.0,82.42,88.12,397.0,0.14,411.5
1626.0,280.0,82.57,88.28,473.0,0.14,406.5
1622.0,293.0,82.85,90.71,425.0,0.16,397.0
1633.0,281.0,82.16,89.56,392.0,0.14,441.0
1634.0,279.0,82.64,89.33,483.0,0.19,400.5
1647.0,274.0,82.3,87.82,439.0,0.17,382.5
1640.0,283.0,82.44,86.77,504.0,0.15,369.0
1642.0,281.0,82.47,88.47,435.0,0.19125,377.5
