D1,DS1,DpB,T1,T3,T4,P,M01,M02,TS1,YuntB
210.0,1657.0,286.0,84.0,81.77,81.14,321.91,82.83,83.51,35.76,0.19
227.0,1654.0,319.0,85.0,82.19,81.31,318.65,86.77,85.31,33.95,0.19
206.0,1631.0,291.0,84.0,81.76,81.17,324.07,81.84,41.22,34.83,0.2
207.0,1634.0,304.0,84.0,81.95,81.3,323.34,82.9,46.1,35.81,0.19
210.0,1639.0,298.0,84.0,82.12,81.47,322.18,84.38,52.66,35.21,0.21
214.0,1645.0,291.0,84.0,82.3,81.64,321.02,85.86,59.21,35.5,0.19
216.0,1639.0,293.0,83.0,82.39,81.75,319.98,87.17,71.98,34.38,0.2
216.0,1659.0,315.0,85.0,82.14,81.68,319.5,88.12,78.04,33.8,0.22
212.0,1655.0,306.0,86.0,81.93,81.41,319.86,85.58,74.35,34.45,0.21
223.0,1639.0,301.0,85.0,81.97,81.3,322.49,85.4,75.08,34.05,0.22
226.0,1641.0,325.0,84.0,81.73,80.8,319.64,88.72,84.54,34.71,0.2
243.0,1639.0,323.0,84.0,81.99,80.81,319.99,83.4,76.22,35.53,0.2
242.0,1625.0,313.0,85.0,82.24,81.09,319.51,81.8,80.4,35.11,0.21
198.0,1644.0,295.0,83.0,82.08,81.59,323.11,83.98,69.15,35.03,0.21
219.0,1635.0,296.0,85.0,82.23,81.42,323.16,85.02,74.66,34.58,0.21
229.0,1643.0,315.0,86.0,82.2,81.28,318.15,84.53,84.41,35.3,0.2
223.0,1636.0,307.0,88.0,82.07,80.96,320.74,79.74,59.91,35.18,0.19
238.0,1649.0,306.0,88.0,82.65,81.38,320.76,84.5,61.81,35.34,0.2
218.0,1655.0,326.0,87.0,82.47,81.26,316.73,84.88,77.33,34.92,0.19
215.0,1666.0,325.0,89.0,82.45,81.27,320.1,85.01,77.77,33.17,0.22
203.0,1671.0,305.0,87.0,82.07,81.11,321.44,83.6,70.73,33.04,0.21
210.0,1655.0,306.0,87.0,82.26,81.51,321.83,84.89,51.34,34.05,0.2
249.0,1625.0,311.0,87.0,81.59,80.39,321.04,80.88,64.93,34.6,0.22
233.0,1634.0,320.0,88.0,81.83,80.45,321.77,81.55,69.8,34.44,0.21
247.0,1633.0,301.0,87.0,82.17,80.61,322.38,82.1,58.5,36.21,0.2
230.0,1644.0,318.0,88.0,82.47,81.02,321.94,82.64,68.85,35.54,0.19
254.0,1624.0,318.0,89.0,82.31,80.96,322.21,81.26,75.94,34.56,0.2
237.0,1616.0,302.0,88.0,82.24,80.9,323.84,80.21,59.66,35.14,0.21
189.0,1670.0,252.0,86.0,81.03,81.28,318.31,84.19,60.79,36.28,0.23
209.0,1664.0,283.0,83.0,82.03,80.87,317.97,84.28,55.42,35.72,0.21
196.0,1673.0,275.0,83.0,82.35,81.33,318.19,86.56,53.94,37.71,0.2
168.0,1656.0,184.0,81.0,81.8,80.82,326.78,83.07,71.34,32.4,0.2
234.0,1628.0,307.0,85.0,82.06,80.95,322.82,84.01,72.42,31.94,0.19
165.0,1646.0,305.0,82.0,81.76,80.59,331.06,81.63,72.7,31.21,0.21
202.0,1631.0,301.0,83.0,82.21,80.98,327.74,84.38,68.31,31.78,0.19
231.0,1650.0,312.0,84.0,82.12,80.7,322.7,83.23,70.9,32.4,0.2
231.0,1650.0,327.0,83.0,82.53,81.07,322.81,88.03,72.56,31.22,0.21
232.0,1632.0,313.0,85.0,82.3,80.8,324.18,84.33,73.45,32.62,0.22
221.0,1654.0,308.0,84.0,82.4,81.09,323.15,83.87,70.94,31.36,0.19
165.0,1681.0,299.0,84.0,81.95,80.86,325.76,81.2,67.79,32.38,0.2
172.0,1659.0,306.0,82.0,82.05,80.77,328.49,81.92,77.32,31.28,0.21
207.0,1652.0,283.0,85.0,82.41,81.21,323.04,85.08,69.48,34.95,0.2
193.0,1645.0,324.0,84.0,82.07,81.06,321.14,83.86,78.07,32.6,0.19
245.0,1642.0,309.0,86.0,82.31,80.98,319.99,85.37,66.42,33.43,0.21
212.0,1640.0,315.0,85.0,82.42,81.01,324.51,83.21,63.71,31.25,0.19
209.0,1652.0,280.0,85.0,82.08,81.04,325.26,84.58,64.38,31.48,0.21
233.0,1631.0,310.0,90.0,82.12,81.11,323.33,84.57,60.71,33.82,0.21
207.0,1625.0,316.0,91.0,81.55,80.8,330.62,79.41,64.39,32.5,0.21
185.0,1642.0,262.0,89.0,82.05,81.17,328.69,82.31,60.55,33.08,0.21
234.0,1635.0,310.0,92.0,82.47,81.1,321.68,84.21,63.46,34.06,0.2
241.0,1646.0,322.0,91.0,82.58,81.11,322.24,84.46,77.46,32.12,0.21
225.0,1630.0,319.0,91.0,82.47,81.12,319.8,84.61,72.95,33.54,0.21
239.0,1623.0,306.0,89.0,82.2,80.83,316.91,82.14,69.82,33.95,0.2
250.0,1618.0,297.0,88.0,82.58,81.26,321.84,84.57,63.84,31.09,0.2
239.0,1617.0,308.0,89.0,82.39,81.51,316.82,84.44,73.62,32.78,0.21
225.0,1648.0,223.0,88.0,82.93,82.01,321.08,86.82,48.57,33.36,0.21
240.0,1656.0,245.0,88.0,82.55,81.61,318.71,87.59,56.85,34.56,0.21
244.0,1607.0,256.0,86.0,82.24,80.9,322.04,87.07,70.84,35.43,0.22
