DpB,T1,T2,T4,M01,M02,VA,Ds,YseB
320.0,88.0,82.03,80.45,81.55,69.8,280.0,1492.0,0.11
301.0,87.0,82.4,80.61,82.1,58.5,313.0,1506.0,0.12
318.0,88.0,82.66,81.02,82.64,68.85,285.0,1507.0,0.09
318.0,89.0,82.54,80.96,81.26,75.94,301.0,1497.0,0.13
302.0,88.0,82.44,80.9,80.21,59.66,343.0,1500.0,0.1
252.0,86.0,82.45,81.28,84.19,60.79,368.0,1507.0,0.09
283.0,83.0,82.19,80.87,84.28,55.42,406.0,1499.0,0.11
275.0,83.0,82.54,81.33,86.56,53.94,443.0,1525.0,0.13
184.0,81.0,82.36,80.82,83.07,71.34,470.0,1480.0,0.13
307.0,85.0,82.23,80.95,84.01,72.42,355.0,1470.0,0.13
305.0,82.0,82.49,80.59,81.63,72.7,585.0,1460.0,0.1
301.0,83.0,82.44,80.98,84.38,68.31,444.0,1460.0,0.16
312.0,84.0,82.31,80.7,83.23,70.9,301.0,1480.0,0.1
327.0,83.0,82.66,81.07,88.03,72.56,373.0,1469.0,0.19
313.0,85.0,82.46,80.8,84.33,73.45,433.0,1474.0,0.12
308.0,84.0,82.58,81.09,83.87,70.94,402.0,1471.0,0.1
299.0,84.0,81.86,80.86,81.2,67.79,522.0,1476.0,0.11
306.0,82.0,82.6,80.77,81.92,77.32,529.0,1468.0,0.14
283.0,85.0,82.59,81.21,85.08,69.48,408.0,1495.0,0.12
324.0,84.0,82.41,81.06,83.86,78.07,423.0,1479.0,0.14
309.0,86.0,82.52,80.98,85.37,66.42,424.0,1482.0,0.14
315.0,85.0,82.63,81.01,83.21,63.71,381.0,1471.0,0.12
280.0,85.0,82.39,81.04,84.58,64.38,454.0,1469.0,0.07
310.0,90.0,82.3,81.11,84.57,60.71,357.0,1472.0,0.11
316.0,91.0,81.75,80.8,79.41,64.39,325.0,1462.0,0.11
262.0,89.0,82.62,81.17,82.31,60.55,513.0,1465.0,0.1
310.0,92.0,82.59,81.1,84.21,63.46,368.0,1480.0,0.11
322.0,91.0,82.69,81.11,84.46,77.46,305.0,1471.0,0.11
319.0,91.0,82.57,81.12,84.61,72.95,358.0,1480.0,0.11
306.0,89.0,82.33,80.83,82.14,69.82,326.0,1482.0,0.09
297.0,88.0,82.71,81.26,84.57,63.84,457.0,1461.0,0.14
308.0,89.0,82.44,81.51,84.44,73.62,330.0,1484.0,0.16
223.0,88.0,81.15,82.01,86.82,48.57,388.0,1490.0,0.1
245.0,88.0,82.69,81.61,87.59,56.85,404.0,1498.0,0.11
256.0,86.0,82.44,80.9,87.07,70.84,400.0,1503.0,0.13
243.0,87.0,82.71,81.45,90.29,49.29,379.0,1478.0,0.13
